epoch,loss,lr,rgb_o_accuracy,rgb_o_loss,seg_o_accuracy,seg_o_loss,traj_o_accuracy,traj_o_loss,val_loss,val_rgb_o_accuracy,val_rgb_o_loss,val_seg_o_accuracy,val_seg_o_loss,val_traj_o_accuracy,val_traj_o_loss
0,2.196301221847534,1e-04,0.708432674407959,0.5978437066078186,0.740092396736145,0.5477311015129089,0.7448599338531494,0.5475663542747498,1.7995727062225342,0.7861841917037964,0.5156687498092651,0.7404056787490845,0.50285404920578,0.7398574352264404,0.5134377479553223
1,1.7998205423355103,1e-04,0.7264600992202759,0.5570140480995178,0.7680274248123169,0.5102543234825134,0.7708581686019897,0.5079644918441772,1.6894869804382324,0.7834429740905762,0.5560362935066223,0.7985197305679321,0.4707404673099518,0.7990679740905762,0.4724595844745636
2,1.7091572284698486,1e-04,0.7385280132293701,0.5365038514137268,0.7792014479637146,0.49364256858825684,0.7774136066436768,0.4891999661922455,1.6639132499694824,0.7691885828971863,0.4949631989002228,0.7601425647735596,0.4970860779285431,0.7557565569877625,0.5082193613052368
3,1.5587196350097656,1e-04,0.767505943775177,0.49514666199684143,0.8063915371894836,0.44621455669403076,0.808030366897583,0.44467100501060486,1.5452135801315308,0.7881030440330505,0.4816264510154724,0.8048245906829834,0.4454878866672516,0.8004385828971863,0.44891464710235596
4,1.4478662014007568,1e-04,0.7914928197860718,0.46264418959617615,0.8286650776863098,0.4085281193256378,0.8288885354995728,0.40882647037506104,1.6542706489562988,0.7779605388641357,0.5091049671173096,0.7774122953414917,0.4860035181045532,0.765899121761322,0.5007566809654236
5,1.3463598489761353,1e-04,0.8113080859184265,0.43047574162483215,0.8437872529029846,0.37507539987564087,0.844159722328186,0.37567004561424255,1.7715553045272827,0.7453399300575256,0.5883075594902039,0.7935855388641357,0.5116463899612427,0.7831688523292542,0.5199468731880188
6,1.2411081790924072,1e-04,0.8286650776863098,0.39544129371643066,0.8610697388648987,0.3419959545135498,0.8605482578277588,0.34097790718078613,1.8760372400283813,0.7472587823867798,0.5882532596588135,0.7480811476707458,0.5486553311347961,0.7275219559669495,0.5833081603050232
7,1.1359567642211914,9.0483736e-05,0.8475863933563232,0.3611466586589813,0.8779797554016113,0.3071554899215698,0.8778307437896729,0.3071591258049011,2.5390424728393555,0.6968201994895935,0.7498258352279663,0.6710526347160339,0.7896532416343689,0.6537829041481018,0.846278190612793
8,1.022010087966919,1.6374612e-05,0.8651668429374695,0.32628104090690613,0.8943682909011841,0.2707674205303192,0.8954111933708191,0.26673924922943115,2.162287473678589,0.7582237124443054,0.7180172204971313,0.7719298005104065,0.6366809606552124,0.7719298005104065,0.6549003720283508
9,0.8416194319725037,1.4816361e-05,0.8951132297515869,0.2719467878341675,0.9198450446128845,0.21319223940372467,0.921260416507721,0.21089938282966614,2.754788875579834,0.7212170958518982,0.8770903944969177,0.7239583134651184,0.8583506941795349,0.7203947305679321,0.8846457004547119
10,0.801333487033844,1.3406397e-05,0.8977205157279968,0.2607142925262451,0.9272943735122681,0.199647456407547,0.9283373355865479,0.19841332733631134,2.94449520111084,0.7223135828971863,0.9278621077537537,0.7129934430122375,0.9205186367034912,0.7116228342056274,0.9610721468925476
